emu,h2i_field,repeatable,emu_group,h2i_container
irn,dwc:recordNumber,,,
DarGlobalUniqueIdentifier,dwc:occurrenceID,,,
CatAccessionYearLocal,cd:temporalCoverageStartDate,,,dates
DarCatalogNumberNumeric,dwc:catalogNumber,,,
AccAccessionNo,cd:identifier,yes,PriAccessionNumberRef,identifiers
DarCatalogNumber,cd:identifier,yes,,identifiers
CatOtherNumbersValue,cd:identifier,yes,OtherNums,identifiers
CatOtherNumbersType,cd:identifierType,yes,OtherNums,identifiers
DesKDescription,h2i:culturalArtefactDescription,yes,Description,descriptions
DesKType,fmnh:culturalArtefactDescriptionType,yes,Description,descriptions
DesUseClassification,h2i:culturalArtefactFunction,yes,DesUseClassification_tab,
EcbPartsUsed,h2i:culturalArtefactParts,yes,EcbPartsUsed_tab,
DesEthnicGroupSubgroup,cd:culturalAffiliation,yes,DesEthnicGroupSubgroup_tab,
AttPeriod,cd:period,yes,AttPeriod_tab,
DesMaterials,cd:materials,yes,DesMaterials_tab,
esites_irn,dwc:locationID,,ColCollectionEventRef,
PolContinent,dwc:continent,,ColCollectionEventRef,
PolPD1,dwc:country,,ColCollectionEventRef,
PolPD2,dwc:stateProvince,,ColCollectionEventRef,
PolPD3,dwc:county,,ColCollectionEventRef,
PolPopn,cd:municipality,,ColCollectionEventRef,
DarLocality,dwc:locality,,,
CatItemsCat,cd:measurementValue,yes,,measurements
CatItemsInv,cd:measurementValue,yes,,measurements
DesObjectName,h2i:culturalArtefactSimpleName,yes,DesObj,simplenames
DesObjectType,fmnh:culturalArtefactSimpleNameType,yes,DesObj,simplenames
DarCollector,dwc:recordedBy,,,
ecatRel_SummaryData,dwc:relationshipRemarks,yes,RelObjectsRef_tab,resourcerelationship
ecatRel_DarGlobalUniqueIdentifier,dwc:relatedResourceID,yes,RelObjectsRef_tab,resourcerelationship
ebiblio_irn,fmnh:referenceID,yes,RelObjectsRef_tab,references
ebiblio_SummaryData,fmnh:reference,yes,RelObjectsRef_tab,references
AudIdentifier,dc:identifier,yes,Multimedia,multimedia
AudAccessURI,ac:accessURI,yes,Multimedia,multimedia
AudCitation,fmnh:citation,yes,Multimedia,multimedia
